DateTime (UTC),DateTime (EDT),Pressure (mmHg),Pressure (Pa)
2023-08-04 18:34:16.470,8/4/2023 14:34:16.470,6.141,818.730402
2023-08-04 18:34:16.478,8/4/2023 14:34:16.478,6.067,808.8645740000001
2023-08-04 18:34:16.486,8/4/2023 14:34:16.486,6.153,820.3302659999999
2023-08-04 18:34:16.494,8/4/2023 14:34:16.494,6.212,828.1962639999999
2023-08-04 18:34:16.502,8/4/2023 14:34:16.502,6.168,822.330096
2023-08-04 18:34:16.510,8/4/2023 14:34:16.510,6.11,814.59742
2023-08-04 18:34:16.518,8/4/2023 14:34:16.518,6.163,821.663486
2023-08-04 18:34:16.526,8/4/2023 14:34:16.526,6.149,819.796978
2023-08-04 18:34:16.534,8/4/2023 14:34:16.534,6.062,808.1979640000001
2023-08-04 18:34:16.542,8/4/2023 14:34:16.542,6.154,820.463588
2023-08-04 18:34:16.550,8/4/2023 14:34:16.550,6.219,829.1295180000001
2023-08-04 18:34:16.558,8/4/2023 14:34:16.558,6.114,815.130708
2023-08-04 18:34:16.566,8/4/2023 14:34:16.566,6.078,810.3311160000001
2023-08-04 18:34:16.574,8/4/2023 14:34:16.574,6.105,813.9308100000001
2023-08-04 18:34:16.582,8/4/2023 14:34:16.582,6.128,816.997216
2023-08-04 18:34:16.590,8/4/2023 14:34:16.590,6.202,826.8630440000001
2023-08-04 18:34:16.598,8/4/2023 14:34:16.598,6.219,829.1295180000001
2023-08-04 18:34:16.606,8/4/2023 14:34:16.606,6.171,822.7300620000001
2023-08-04 18:34:16.614,8/4/2023 14:34:16.614,6.083,810.9977260000001
2023-08-04 18:34:16.622,8/4/2023 14:34:16.622,6.026,803.398372
2023-08-04 18:34:16.630,8/4/2023 14:34:16.630,6.101,813.397522
2023-08-04 18:34:16.638,8/4/2023 14:34:16.638,6.133,817.663826
2023-08-04 18:34:16.646,8/4/2023 14:34:16.646,6.085,811.26437
2023-08-04 18:34:16.654,8/4/2023 14:34:16.654,6.117,815.530674
2023-08-04 18:34:16.662,8/4/2023 14:34:16.662,6.174,823.130028
2023-08-04 18:34:16.670,8/4/2023 14:34:16.670,6.205,827.26301
2023-08-04 18:34:16.678,8/4/2023 14:34:16.678,6.284,837.795448
2023-08-04 18:34:16.686,8/4/2023 14:34:16.686,6.288,838.328736
2023-08-04 18:34:16.694,8/4/2023 14:34:16.694,6.246,832.7292120000001
2023-08-04 18:34:16.702,8/4/2023 14:34:16.702,6.237,831.529314
2023-08-04 18:34:16.710,8/4/2023 14:34:16.710,6.197,826.1964340000001
2023-08-04 18:34:16.718,8/4/2023 14:34:16.718,6.188,824.996536
2023-08-04 18:34:16.726,8/4/2023 14:34:16.726,6.233,830.9960259999999
2023-08-04 18:34:16.734,8/4/2023 14:34:16.734,6.282,837.528804
2023-08-04 18:34:16.742,8/4/2023 14:34:16.742,6.304,840.461888
2023-08-04 18:34:16.750,8/4/2023 14:34:16.750,6.228,830.329416
2023-08-04 18:34:16.758,8/4/2023 14:34:16.758,6.122,816.197284
2023-08-04 18:34:16.766,8/4/2023 14:34:16.766,6.148,819.663656
2023-08-04 18:34:16.774,8/4/2023 14:34:16.774,6.168,822.330096
2023-08-04 18:34:16.782,8/4/2023 14:34:16.782,6.082,810.864404
2023-08-04 18:34:16.790,8/4/2023 14:34:16.790,6.068,808.997896
2023-08-04 18:34:16.798,8/4/2023 14:34:16.798,6.175,823.26335
2023-08-04 18:34:16.806,8/4/2023 14:34:16.806,6.199,826.463078
2023-08-04 18:34:16.814,8/4/2023 14:34:16.814,6.049,806.464778
2023-08-04 18:34:16.822,8/4/2023 14:34:16.822,5.959,794.465798
2023-08-04 18:34:16.830,8/4/2023 14:34:16.830,6.038,804.998236
2023-08-04 18:34:16.838,8/4/2023 14:34:16.838,6.171,822.7300620000001
2023-08-04 18:34:16.846,8/4/2023 14:34:16.846,6.269,835.795618
2023-08-04 18:34:16.854,8/4/2023 14:34:16.854,6.206,827.396332
2023-08-04 18:34:16.862,8/4/2023 14:34:16.862,6.135,817.93047
2023-08-04 18:34:16.870,8/4/2023 14:34:16.870,6.273,836.328906
2023-08-04 18:34:16.878,8/4/2023 14:34:16.878,6.361,848.061242
2023-08-04 18:34:16.886,8/4/2023 14:34:16.886,6.166,822.0634520000001
2023-08-04 18:34:16.894,8/4/2023 14:34:16.894,6.008,800.9985760000001
2023-08-04 18:34:16.902,8/4/2023 14:34:16.902,6.103,813.664166
2023-08-04 18:34:16.910,8/4/2023 14:34:16.910,6.192,825.5298240000001
2023-08-04 18:34:16.918,8/4/2023 14:34:16.918,6.213,828.3295860000001
2023-08-04 18:34:16.926,8/4/2023 14:34:16.926,6.24,831.9292800000001
2023-08-04 18:34:16.934,8/4/2023 14:34:16.934,6.145,819.26369
2023-08-04 18:34:16.942,8/4/2023 14:34:16.942,6.003,800.3319660000001
2023-08-04 18:34:16.950,8/4/2023 14:34:16.950,6.021,802.731762
2023-08-04 18:34:16.958,8/4/2023 14:34:16.958,6.013,801.665186
2023-08-04 18:34:16.966,8/4/2023 14:34:16.966,5.877,783.5333939999999
2023-08-04 18:34:16.974,8/4/2023 14:34:16.974,5.936,791.399392
2023-08-04 18:34:16.982,8/4/2023 14:34:16.982,6.173,822.996706
2023-08-04 18:34:16.990,8/4/2023 14:34:16.990,6.183,824.329926
2023-08-04 18:34:16.998,8/4/2023 14:34:16.998,6.105,813.9308100000001
2023-08-04 18:34:17.006,8/4/2023 14:34:17.006,6.254,833.7957879999999
2023-08-04 18:34:17.014,8/4/2023 14:34:17.014,6.287,838.195414
2023-08-04 18:34:17.022,8/4/2023 14:34:17.022,6.103,813.664166
2023-08-04 18:34:17.030,8/4/2023 14:34:17.030,6.067,808.8645740000001
2023-08-04 18:34:17.038,8/4/2023 14:34:17.038,6.112,814.864064
2023-08-04 18:34:17.046,8/4/2023 14:34:17.046,6.138,818.330436
2023-08-04 18:34:17.054,8/4/2023 14:34:17.054,6.183,824.329926
2023-08-04 18:34:17.062,8/4/2023 14:34:17.062,6.194,825.796468
2023-08-04 18:34:17.070,8/4/2023 14:34:17.070,6.17,822.59674
2023-08-04 18:34:17.078,8/4/2023 14:34:17.078,6.157,820.863554
2023-08-04 18:34:17.086,8/4/2023 14:34:17.086,6.19,825.26318
2023-08-04 18:34:17.094,8/4/2023 14:34:17.094,6.192,825.5298240000001
2023-08-04 18:34:17.102,8/4/2023 14:34:17.102,6.114,815.130708
2023-08-04 18:34:17.110,8/4/2023 14:34:17.110,6.023,802.9984059999999
2023-08-04 18:34:17.118,8/4/2023 14:34:17.118,6.024,803.1317280000001
2023-08-04 18:34:17.126,8/4/2023 14:34:17.126,6.031,804.064982
2023-08-04 18:34:17.134,8/4/2023 14:34:17.134,6.079,810.464438
2023-08-04 18:34:17.142,8/4/2023 14:34:17.142,6.14,818.59708
2023-08-04 18:34:17.150,8/4/2023 14:34:17.150,6.127,816.863894
2023-08-04 18:34:17.158,8/4/2023 14:34:17.158,6.176,823.3966720000001
2023-08-04 18:34:17.166,8/4/2023 14:34:17.166,6.198,826.3297560000001
2023-08-04 18:34:17.174,8/4/2023 14:34:17.174,6.174,823.130028
2023-08-04 18:34:17.182,8/4/2023 14:34:17.182,6.254,833.7957879999999
2023-08-04 18:34:17.190,8/4/2023 14:34:17.190,6.32,842.59504
2023-08-04 18:34:17.198,8/4/2023 14:34:17.198,6.265,835.26233
2023-08-04 18:34:17.206,8/4/2023 14:34:17.206,6.155,820.5969100000001
2023-08-04 18:34:17.214,8/4/2023 14:34:17.214,5.997,799.532034
2023-08-04 18:34:17.222,8/4/2023 14:34:17.222,6.042,805.531524
2023-08-04 18:34:17.230,8/4/2023 14:34:17.230,6.198,826.3297560000001
2023-08-04 18:34:17.238,8/4/2023 14:34:17.238,6.191,825.3965019999999
2023-08-04 18:34:17.246,8/4/2023 14:34:17.246,6.188,824.996536
2023-08-04 18:34:17.254,8/4/2023 14:34:17.254,6.182,824.1966040000001
2023-08-04 18:34:17.262,8/4/2023 14:34:17.262,6.224,829.7961280000001
2023-08-04 18:34:17.270,8/4/2023 14:34:17.270,6.225,829.92945
2023-08-04 18:34:17.278,8/4/2023 14:34:17.278,6.097,812.8642340000001
2023-08-04 18:34:17.286,8/4/2023 14:34:17.286,6.127,816.863894
2023-08-04 18:34:17.294,8/4/2023 14:34:17.294,6.094,812.4642680000001
2023-08-04 18:34:17.302,8/4/2023 14:34:17.302,5.976,796.732272
2023-08-04 18:34:17.310,8/4/2023 14:34:17.310,6.071,809.397862
2023-08-04 18:34:17.318,8/4/2023 14:34:17.318,6.05,806.5981
2023-08-04 18:34:17.326,8/4/2023 14:34:17.326,5.92,789.26624
2023-08-04 18:34:17.334,8/4/2023 14:34:17.334,6.06,807.9313199999999
2023-08-04 18:34:17.342,8/4/2023 14:34:17.342,6.255,833.92911
2023-08-04 18:34:17.350,8/4/2023 14:34:17.350,6.263,834.995686
2023-08-04 18:34:17.358,8/4/2023 14:34:17.358,6.177,823.529994
2023-08-04 18:34:17.366,8/4/2023 14:34:17.366,6.111,814.730742
2023-08-04 18:34:17.374,8/4/2023 14:34:17.374,6.136,818.063792
2023-08-04 18:34:17.382,8/4/2023 14:34:17.382,6.194,825.796468
2023-08-04 18:34:17.390,8/4/2023 14:34:17.390,6.24,831.9292800000001
2023-08-04 18:34:17.398,8/4/2023 14:34:17.398,6.206,827.396332
2023-08-04 18:34:17.406,8/4/2023 14:34:17.406,6.131,817.397182
2023-08-04 18:34:17.414,8/4/2023 14:34:17.414,6.226,830.062772
2023-08-04 18:34:17.422,8/4/2023 14:34:17.422,6.344,845.7947680000001
2023-08-04 18:34:17.430,8/4/2023 14:34:17.430,6.233,830.9960259999999
2023-08-04 18:34:17.438,8/4/2023 14:34:17.438,6.092,812.197624
2023-08-04 18:34:17.446,8/4/2023 14:34:17.446,6.034,804.4649479999999
2023-08-04 18:34:17.454,8/4/2023 14:34:17.454,6.014,801.7985080000001
2023-08-04 18:34:17.462,8/4/2023 14:34:17.462,6.162,821.530164
2023-08-04 18:34:17.470,8/4/2023 14:34:17.470,6.261,834.729042
2023-08-04 18:34:17.478,8/4/2023 14:34:17.478,6.177,823.529994
2023-08-04 18:34:17.486,8/4/2023 14:34:17.486,6.165,821.9301300000001
2023-08-04 18:34:17.494,8/4/2023 14:34:17.494,6.208,827.6629760000001
2023-08-04 18:34:17.502,8/4/2023 14:34:17.502,6.152,820.196944
2023-08-04 18:34:17.510,8/4/2023 14:34:17.510,6.08,810.59776
2023-08-04 18:34:17.518,8/4/2023 14:34:17.518,6.118,815.6639960000001
2023-08-04 18:34:17.526,8/4/2023 14:34:17.526,6.226,830.062772
2023-08-04 18:34:17.534,8/4/2023 14:34:17.534,6.265,835.26233
2023-08-04 18:34:17.542,8/4/2023 14:34:17.542,6.201,826.7297219999999
2023-08-04 18:34:17.550,8/4/2023 14:34:17.550,6.157,820.863554
2023-08-04 18:34:17.558,8/4/2023 14:34:17.558,6.106,814.064132
2023-08-04 18:34:17.566,8/4/2023 14:34:17.566,6.031,804.064982
2023-08-04 18:34:17.574,8/4/2023 14:34:17.574,6.047,806.198134
2023-08-04 18:34:17.582,8/4/2023 14:34:17.582,6.114,815.130708
2023-08-04 18:34:17.590,8/4/2023 14:34:17.590,6.171,822.7300620000001
2023-08-04 18:34:17.598,8/4/2023 14:34:17.598,6.166,822.0634520000001
2023-08-04 18:34:17.606,8/4/2023 14:34:17.606,6.2,826.5964
2023-08-04 18:34:17.614,8/4/2023 14:34:17.614,6.259,834.462398
2023-08-04 18:34:17.622,8/4/2023 14:34:17.622,6.195,825.92979
2023-08-04 18:34:17.630,8/4/2023 14:34:17.630,6.185,824.5965699999999
2023-08-04 18:34:17.638,8/4/2023 14:34:17.638,6.244,832.462568
2023-08-04 18:34:17.646,8/4/2023 14:34:17.646,6.166,822.0634520000001
2023-08-04 18:34:17.654,8/4/2023 14:34:17.654,6.048,806.331456
2023-08-04 18:34:17.662,8/4/2023 14:34:17.662,6.068,808.997896
2023-08-04 18:34:17.670,8/4/2023 14:34:17.670,6.173,822.996706
2023-08-04 18:34:17.678,8/4/2023 14:34:17.678,6.268,835.662296
2023-08-04 18:34:17.686,8/4/2023 14:34:17.686,6.269,835.795618
2023-08-04 18:34:17.694,8/4/2023 14:34:17.694,6.22,829.26284
2023-08-04 18:34:17.702,8/4/2023 14:34:17.702,6.182,824.1966040000001
2023-08-04 18:34:17.710,8/4/2023 14:34:17.710,6.131,817.397182
2023-08-04 18:34:17.718,8/4/2023 14:34:17.718,6.106,814.064132
2023-08-04 18:34:17.726,8/4/2023 14:34:17.726,6.092,812.197624
2023-08-04 18:34:17.734,8/4/2023 14:34:17.734,6.076,810.0644719999999
2023-08-04 18:34:17.742,8/4/2023 14:34:17.742,6.076,810.0644719999999
2023-08-04 18:34:17.750,8/4/2023 14:34:17.750,6.082,810.864404
2023-08-04 18:34:17.758,8/4/2023 14:34:17.758,6.1,813.2642
2023-08-04 18:34:17.766,8/4/2023 14:34:17.766,6.219,829.1295180000001
2023-08-04 18:34:17.774,8/4/2023 14:34:17.774,6.347,846.194734
2023-08-04 18:34:17.782,8/4/2023 14:34:17.782,6.323,842.9950060000001
2023-08-04 18:34:17.790,8/4/2023 14:34:17.790,6.28,837.26216
2023-08-04 18:34:17.798,8/4/2023 14:34:17.798,6.27,835.92894
2023-08-04 18:34:17.806,8/4/2023 14:34:17.806,6.195,825.92979
2023-08-04 18:34:17.814,8/4/2023 14:34:17.814,6.067,808.8645740000001
2023-08-04 18:34:17.822,8/4/2023 14:34:17.822,6.029,803.7983380000001
2023-08-04 18:34:17.830,8/4/2023 14:34:17.830,6.143,818.997046
2023-08-04 18:34:17.838,8/4/2023 14:34:17.838,6.238,831.662636
2023-08-04 18:34:17.846,8/4/2023 14:34:17.846,6.236,831.395992
2023-08-04 18:34:17.854,8/4/2023 14:34:17.854,6.219,829.1295180000001
2023-08-04 18:34:17.862,8/4/2023 14:34:17.862,6.218,828.996196
2023-08-04 18:34:17.870,8/4/2023 14:34:17.870,6.288,838.328736
2023-08-04 18:34:17.878,8/4/2023 14:34:17.878,6.298,839.661956
2023-08-04 18:34:17.886,8/4/2023 14:34:17.886,6.202,826.8630440000001
2023-08-04 18:34:17.894,8/4/2023 14:34:17.894,6.199,826.463078
2023-08-04 18:34:17.902,8/4/2023 14:34:17.902,6.227,830.196094
2023-08-04 18:34:17.910,8/4/2023 14:34:17.910,6.174,823.130028
2023-08-04 18:34:17.918,8/4/2023 14:34:17.918,6.114,815.130708
2023-08-04 18:34:17.926,8/4/2023 14:34:17.926,6.124,816.463928
2023-08-04 18:34:17.934,8/4/2023 14:34:17.934,6.208,827.6629760000001
2023-08-04 18:34:17.942,8/4/2023 14:34:17.942,6.234,831.129348
2023-08-04 18:34:17.950,8/4/2023 14:34:17.950,6.13,817.26386
2023-08-04 18:34:17.958,8/4/2023 14:34:17.958,6.137,818.1971139999999
2023-08-04 18:34:17.966,8/4/2023 14:34:17.966,6.215,828.59623
2023-08-04 18:34:17.974,8/4/2023 14:34:17.974,6.18,823.9299599999999
2023-08-04 18:34:17.982,8/4/2023 14:34:17.982,6.189,825.129858
2023-08-04 18:34:17.990,8/4/2023 14:34:17.990,6.292,838.862024
2023-08-04 18:34:17.998,8/4/2023 14:34:17.998,6.185,824.5965699999999
2023-08-04 18:34:18.006,8/4/2023 14:34:18.006,6.068,808.997896
2023-08-04 18:34:18.014,8/4/2023 14:34:18.014,6.177,823.529994
2023-08-04 18:34:18.022,8/4/2023 14:34:18.022,6.145,819.26369
2023-08-04 18:34:18.030,8/4/2023 14:34:18.030,6.086,811.397692
2023-08-04 18:34:18.038,8/4/2023 14:34:18.038,6.159,821.130198
2023-08-04 18:34:18.046,8/4/2023 14:34:18.046,6.202,826.8630440000001
2023-08-04 18:34:18.054,8/4/2023 14:34:18.054,6.157,820.863554
2023-08-04 18:34:18.062,8/4/2023 14:34:18.062,6.171,822.7300620000001
2023-08-04 18:34:18.070,8/4/2023 14:34:18.070,6.283,837.6621260000001
2023-08-04 18:34:18.078,8/4/2023 14:34:18.078,6.271,836.062262
2023-08-04 18:34:18.086,8/4/2023 14:34:18.086,6.257,834.195754
2023-08-04 18:34:18.094,8/4/2023 14:34:18.094,6.32,842.59504
2023-08-04 18:34:18.102,8/4/2023 14:34:18.102,6.163,821.663486
2023-08-04 18:34:18.110,8/4/2023 14:34:18.110,6.007,800.8652539999999
2023-08-04 18:34:18.118,8/4/2023 14:34:18.118,6.161,821.396842
2023-08-04 18:34:18.126,8/4/2023 14:34:18.126,6.307,840.8618540000001
2023-08-04 18:34:18.134,8/4/2023 14:34:18.134,6.26,834.59572
2023-08-04 18:34:18.142,8/4/2023 14:34:18.142,6.163,821.663486
2023-08-04 18:34:18.150,8/4/2023 14:34:18.150,6.143,818.997046
2023-08-04 18:34:18.158,8/4/2023 14:34:18.158,6.241,832.062602
2023-08-04 18:34:18.166,8/4/2023 14:34:18.166,6.249,833.129178
2023-08-04 18:34:18.174,8/4/2023 14:34:18.174,6.051,806.7314220000001
2023-08-04 18:34:18.182,8/4/2023 14:34:18.182,5.956,794.0658320000001
2023-08-04 18:34:18.190,8/4/2023 14:34:18.190,6.031,804.064982
2023-08-04 18:34:18.198,8/4/2023 14:34:18.198,6.112,814.864064
2023-08-04 18:34:18.206,8/4/2023 14:34:18.206,6.178,823.663316
2023-08-04 18:34:18.214,8/4/2023 14:34:18.214,6.09,811.93098
2023-08-04 18:34:18.222,8/4/2023 14:34:18.222,5.971,796.065662
2023-08-04 18:34:18.230,8/4/2023 14:34:18.230,6.106,814.064132
2023-08-04 18:34:18.238,8/4/2023 14:34:18.238,6.224,829.7961280000001
2023-08-04 18:34:18.246,8/4/2023 14:34:18.246,6.156,820.730232
2023-08-04 18:34:18.254,8/4/2023 14:34:18.254,6.15,819.9303000000001
2023-08-04 18:34:18.262,8/4/2023 14:34:18.262,6.147,819.530334
2023-08-04 18:34:18.270,8/4/2023 14:34:18.270,6.15,819.9303000000001
2023-08-04 18:34:18.278,8/4/2023 14:34:18.278,6.246,832.7292120000001
2023-08-04 18:34:18.286,8/4/2023 14:34:18.286,6.336,844.728192
2023-08-04 18:34:18.294,8/4/2023 14:34:18.294,6.261,834.729042
2023-08-04 18:34:18.302,8/4/2023 14:34:18.302,6.119,815.797318
2023-08-04 18:34:18.310,8/4/2023 14:34:18.310,6.15,819.9303000000001
2023-08-04 18:34:18.318,8/4/2023 14:34:18.318,6.097,812.8642340000001
2023-08-04 18:34:18.326,8/4/2023 14:34:18.326,5.975,796.59895
2023-08-04 18:34:18.334,8/4/2023 14:34:18.334,6.146,819.397012
2023-08-04 18:34:18.342,8/4/2023 14:34:18.342,6.283,837.6621260000001
2023-08-04 18:34:18.350,8/4/2023 14:34:18.350,6.179,823.796638
2023-08-04 18:34:18.358,8/4/2023 14:34:18.358,6.142,818.863724
2023-08-04 18:34:18.366,8/4/2023 14:34:18.366,6.147,819.530334
2023-08-04 18:34:18.374,8/4/2023 14:34:18.374,6.075,809.93115
2023-08-04 18:34:18.382,8/4/2023 14:34:18.382,5.988,798.3321360000001
2023-08-04 18:34:18.390,8/4/2023 14:34:18.390,6.04,805.2648800000001
2023-08-04 18:34:18.398,8/4/2023 14:34:18.398,6.232,830.862704
2023-08-04 18:34:18.406,8/4/2023 14:34:18.406,6.299,839.795278
2023-08-04 18:34:18.414,8/4/2023 14:34:18.414,6.18,823.9299599999999
2023-08-04 18:34:18.422,8/4/2023 14:34:18.422,6.074,809.797828
2023-08-04 18:34:18.430,8/4/2023 14:34:18.430,6.11,814.59742
2023-08-04 18:34:18.438,8/4/2023 14:34:18.438,6.193,825.663146
2023-08-04 18:34:18.446,8/4/2023 14:34:18.446,6.148,819.663656
2023-08-04 18:34:18.454,8/4/2023 14:34:18.454,6.11,814.59742
2023-08-04 18:34:18.462,8/4/2023 14:34:18.462,6.136,818.063792
2023-08-04 18:34:18.470,8/4/2023 14:34:18.470,6.143,818.997046
2023-08-04 18:34:18.478,8/4/2023 14:34:18.478,6.141,818.730402
2023-08-04 18:34:18.486,8/4/2023 14:34:18.486,6.109,814.464098
2023-08-04 18:34:18.494,8/4/2023 14:34:18.494,6.162,821.530164
2023-08-04 18:34:18.502,8/4/2023 14:34:18.502,6.173,822.996706
2023-08-04 18:34:18.510,8/4/2023 14:34:18.510,6.019,802.4651180000001
2023-08-04 18:34:18.518,8/4/2023 14:34:18.518,5.997,799.532034
2023-08-04 18:34:18.526,8/4/2023 14:34:18.526,6.204,827.129688
2023-08-04 18:34:18.534,8/4/2023 14:34:18.534,6.258,834.329076
2023-08-04 18:34:18.542,8/4/2023 14:34:18.542,6.091,812.064302
2023-08-04 18:34:18.550,8/4/2023 14:34:18.550,6.096,812.730912
2023-08-04 18:34:18.558,8/4/2023 14:34:18.558,6.225,829.92945
2023-08-04 18:34:18.566,8/4/2023 14:34:18.566,6.304,840.461888
2023-08-04 18:34:18.574,8/4/2023 14:34:18.574,6.31,841.26182
2023-08-04 18:34:18.582,8/4/2023 14:34:18.582,6.224,829.7961280000001
2023-08-04 18:34:18.590,8/4/2023 14:34:18.590,6.16,821.2635200000001
2023-08-04 18:34:18.598,8/4/2023 14:34:18.598,6.158,820.996876
2023-08-04 18:34:18.606,8/4/2023 14:34:18.606,6.15,819.9303000000001
2023-08-04 18:34:18.614,8/4/2023 14:34:18.614,6.131,817.397182
2023-08-04 18:34:18.622,8/4/2023 14:34:18.622,6.167,822.196774
2023-08-04 18:34:18.630,8/4/2023 14:34:18.630,6.302,840.195244
2023-08-04 18:34:18.638,8/4/2023 14:34:18.638,6.335,844.59487
2023-08-04 18:34:18.646,8/4/2023 14:34:18.646,6.204,827.129688
2023-08-04 18:34:18.654,8/4/2023 14:34:18.654,6.109,814.464098
2023-08-04 18:34:18.662,8/4/2023 14:34:18.662,6.102,813.530844
2023-08-04 18:34:18.670,8/4/2023 14:34:18.670,6.174,823.130028
2023-08-04 18:34:18.678,8/4/2023 14:34:18.678,6.219,829.1295180000001
2023-08-04 18:34:18.686,8/4/2023 14:34:18.686,6.181,824.0632820000001
2023-08-04 18:34:18.694,8/4/2023 14:34:18.694,6.153,820.3302659999999
2023-08-04 18:34:18.702,8/4/2023 14:34:18.702,6.176,823.3966720000001
2023-08-04 18:34:18.710,8/4/2023 14:34:18.710,6.192,825.5298240000001
2023-08-04 18:34:18.718,8/4/2023 14:34:18.718,6.178,823.663316
2023-08-04 18:34:18.726,8/4/2023 14:34:18.726,6.169,822.4634179999999
2023-08-04 18:34:18.734,8/4/2023 14:34:18.734,6.106,814.064132
2023-08-04 18:34:18.742,8/4/2023 14:34:18.742,6.02,802.59844
2023-08-04 18:34:18.750,8/4/2023 14:34:18.750,5.964,795.132408
2023-08-04 18:34:18.758,8/4/2023 14:34:18.758,6.057,807.5313540000001
2023-08-04 18:34:18.766,8/4/2023 14:34:18.766,6.165,821.9301300000001
2023-08-04 18:34:18.774,8/4/2023 14:34:18.774,6.067,808.8645740000001
2023-08-04 18:34:18.782,8/4/2023 14:34:18.782,5.984,797.798848
2023-08-04 18:34:18.790,8/4/2023 14:34:18.790,6.063,808.331286
2023-08-04 18:34:18.798,8/4/2023 14:34:18.798,6.216,828.729552
2023-08-04 18:34:18.806,8/4/2023 14:34:18.806,6.221,829.396162
2023-08-04 18:34:18.814,8/4/2023 14:34:18.814,6.208,827.6629760000001
2023-08-04 18:34:18.822,8/4/2023 14:34:18.822,6.26,834.59572
2023-08-04 18:34:18.830,8/4/2023 14:34:18.830,6.177,823.529994
2023-08-04 18:34:18.838,8/4/2023 14:34:18.838,6.051,806.7314220000001
2023-08-04 18:34:18.846,8/4/2023 14:34:18.846,6.042,805.531524
2023-08-04 18:34:18.854,8/4/2023 14:34:18.854,6.158,820.996876
2023-08-04 18:34:18.862,8/4/2023 14:34:18.862,6.188,824.996536
2023-08-04 18:34:18.870,8/4/2023 14:34:18.870,6.118,815.6639960000001
